iter	Passed	Remaining
0	10	5239
1	22	5628
2	31	5262
3	42	5209
4	53	5295
5	66	5481
6	76	5365
7	86	5332
8	97	5307
9	107	5284
10	118	5255
11	128	5208
12	138	5185
13	148	5153
14	158	5130
15	168	5099
16	178	5081
17	188	5056
18	199	5055
19	216	5198
20	227	5189
21	238	5172
22	248	5162
23	258	5132
24	269	5121
25	280	5116
26	290	5094
27	301	5074
28	311	5058
29	322	5057
30	332	5027
31	343	5017
32	354	5015
33	370	5073
34	380	5059
35	391	5042
36	402	5038
37	413	5026
38	425	5027
39	435	5007
40	446	4996
41	456	4974
42	467	4966
43	476	4942
44	487	4932
45	497	4912
46	510	4922
47	525	4947
48	535	4933
49	546	4921
50	557	4906
51	568	4895
52	577	4873
53	588	4860
54	599	4849
55	610	4838
56	620	4821
57	631	4810
58	640	4786
59	651	4775
60	662	4768
61	678	4792
62	689	4779
63	699	4762
64	710	4752
65	720	4735
66	730	4722
67	740	4705
68	751	4693
69	761	4674
70	771	4663
71	781	4646
72	791	4632
73	803	4624
74	816	4628
75	832	4643
76	842	4630
77	854	4623
78	864	4608
79	876	4602
80	887	4591
81	898	4580
82	910	4575
83	922	4570
84	935	4565
85	946	4556
86	960	4558
87	977	4574
88	991	4580
89	1005	4581
90	1019	4580
91	1031	4572
92	1043	4566
93	1057	4569
94	1068	4556
95	1081	4550
96	1092	4539
97	1104	4529
98	1115	4519
99	1129	4517
100	1142	4514
101	1153	4502
102	1164	4489
103	1175	4475
104	1186	4464
105	1199	4457
106	1209	4441
107	1221	4431
108	1231	4417
109	1242	4406
110	1253	4391
111	1264	4380
112	1276	4370
113	1290	4371
114	1302	4359
115	1312	4343
116	1323	4333
117	1334	4319
118	1345	4308
119	1355	4293
120	1366	4281
121	1376	4266
122	1387	4253
123	1399	4244
124	1411	4233
125	1422	4222
126	1437	4221
127	1450	4216
128	1462	4205
129	1472	4190
130	1483	4178
131	1493	4164
132	1505	4154
133	1515	4140
134	1527	4129
135	1537	4116
136	1549	4104
137	1559	4091
138	1571	4080
139	1584	4075
140	1600	4075
141	1612	4065
142	1623	4052
143	1633	4038
144	1644	4027
145	1654	4012
146	1665	3998
147	1675	3984
148	1686	3972
149	1696	3958
150	1707	3947
151	1718	3933
152	1729	3921
153	1742	3915
154	1756	3910
155	1767	3897
156	1777	3884
157	1788	3872
158	1800	3861
159	1851	3935
160	1868	3934
161	1886	3936
162	1900	3928
163	1915	3924
164	1925	3909
165	1937	3899
166	1947	3883
167	1958	3869
168	1968	3854
169	1978	3841
170	1988	3825
171	2001	3816
172	2013	3805
173	2023	3790
174	2034	3777
175	2044	3763
176	2055	3750
177	2065	3736
178	2076	3723
179	2087	3710
180	2098	3698
181	2116	3698
182	2126	3683
183	2137	3671
184	2148	3657
185	2159	3645
186	2168	3630
187	2180	3618
188	2190	3604
189	2201	3592
190	2216	3585
191	2226	3572
192	2237	3559
193	2247	3545
194	2261	3537
195	2276	3530
196	2285	3515
197	2296	3502
198	2306	3489
199	2318	3477
200	2328	3463
201	2339	3450
202	2349	3437
203	2360	3425
204	2370	3410
205	2381	3399
206	2392	3386
207	2403	3373
208	2418	3367
209	2431	3357
210	2442	3345
211	2452	3331
212	2463	3319
213	2472	3305
214	2484	3292
215	2493	3278
216	2504	3266
217	2513	3251
218	2524	3239
219	2534	3226
220	2545	3213
221	2555	3199
222	2569	3191
223	2583	3183
224	2594	3171
225	2606	3159
226	2615	3145
227	2627	3134
228	2637	3121
229	2648	3109
230	2658	3096
231	2669	3084
232	2679	3070
233	2690	3057
234	2700	3044
235	2711	3032
236	2726	3025
237	2738	3014
238	2749	3002
239	2759	2989
240	2770	2977
241	2779	2963
242	2792	2953
243	2802	2940
244	2813	2928
245	2824	2916
246	2834	2903
247	2844	2890
